order_item_id,order_id,product_id,quantity,unit_price,Total_Amount
OD000071,O000024,P0077,5,458.98,2294.9
OD000072,O000024,P0068,5,35.41,177.05
OD000073,O000024,P0038,4,316.89,1267.56
OD000074,O000024,P0059,1,98.43,98.43
OD000075,O000025,P0056,2,312.38,624.76
OD000076,O000025,P0058,4,369.98,1479.92
OD000077,O000026,P0052,3,120.56,361.68
OD000078,O000026,P0054,4,469.59,1878.36
OD000079,O000026,P0094,3,222.64,667.92
OD000080,O000026,P0013,3,32.74,98.22
OD000081,O000027,P0088,1,264.57,264.57
OD000082,O000027,P0061,1,494.97,494.97
OD000083,O000028,P0012,4,262.57,1050.28
OD000084,O000029,P0017,5,125.81,629.05
OD000085,O000029,P0072,5,472.6,2363
OD000086,O000029,P0008,5,61.73,308.65
OD000087,O000030,P0046,1,131.74,131.74
OD000088,O000030,P0086,3,125.27,375.81
OD000089,O000030,P0097,5,498.14,2490.7
OD000090,O000030,P0055,3,331.06,993.18
OD000091,O000031,P0074,5,171.05,855.25
OD000092,O000032,P0029,3,426.8,1280.4
OD000093,O000032,P0014,1,115.44,115.44
OD000094,O000032,P0045,3,58.3,174.9
OD000095,O000032,P0072,5,472.6,2363
OD000096,O000033,P0072,5,472.6,2363
OD000097,O000033,P0099,1,486.12,486.12
OD000098,O000033,P0080,5,138.38,691.9
OD000099,O000033,P0079,3,147.14,441.42
OD000100,O000034,P0090,3,42.62,127.86
OD000101,O000034,P0098,3,273.97,821.91
OD000102,O000034,P0040,1,297.13,297.13
OD000103,O000035,P0085,1,211.71,211.71
OD000104,O000035,P0052,1,120.56,120.56
OD000105,O000035,P0009,5,222.52,1112.6
OD000106,O000035,P0019,2,408.53,817.06
OD000107,O000035,P0095,4,50.49,201.96
OD000108,O000036,P0048,3,153.43,460.29
OD000109,O000036,P0040,5,297.13,1485.65
OD000110,O000037,P0020,2,23.12,46.24
OD000111,O000038,P0035,4,201.7,806.8
OD000112,O000039,P0063,3,287.34,862.02
OD000113,O000039,P0078,2,240.25,480.5
OD000114,O000039,P0057,5,102.15,510.75
OD000115,O000039,P0054,1,469.59,469.59
OD000116,O000040,P0015,4,331.94,1327.76
OD000117,O000040,P0037,5,418.11,2090.55
OD000118,O000040,P0087,3,498.82,1496.46
OD000119,O000040,P0076,1,209.9,209.9
OD000120,O000041,P0077,3,458.98,1376.94
OD000121,O000041,P0008,2,61.73,123.46
OD000122,O000041,P0001,2,326.92,653.84
OD000123,O000041,P0027,3,64.52,193.56
OD000124,O000042,P0016,4,281.57,1126.28
OD000125,O000042,P0001,2,326.92,653.84
OD000126,O000042,P0064,2,348.61,697.22
OD000127,O000043,P0065,3,424.57,1273.71
OD000128,O000043,P0072,1,472.6,472.6
OD000129,O000044,P0056,1,312.38,312.38
OD000130,O000045,P0041,5,358.19,1790.95
OD000131,O000046,P0052,1,120.56,120.56
OD000132,O000046,P0091,4,72.63,290.52
OD000133,O000046,P0082,1,146.12,146.12
OD000134,O000046,P0054,3,469.59,1408.77
OD000135,O000046,P0038,2,316.89,633.78
OD000136,O000047,P0012,2,262.57,525.14
OD000137,O000047,P0056,4,312.38,1249.52
OD000138,O000047,P0014,5,115.44,577.2
OD000139,O000048,P0011,2,124.95,249.9
OD000140,O000048,P0051,3,197.69,593.07
OD000141,O000048,P0040,2,297.13,594.26
OD000142,O000048,P0096,1,203.18,203.18
OD000143,O000048,P0044,5,158.91,794.55
OD000144,O000049,P0066,2,392.48,784.96
OD000145,O000049,P0025,2,479.46,958.92
OD000146,O000049,P0100,1,433.17,433.17
OD000147,O000049,P0045,2,58.3,116.6
OD000148,O000049,P0094,3,222.64,667.92
OD000149,O000050,P0078,1,240.25,240.25
OD000150,O000050,P0020,2,23.12,46.24
OD000151,O000051,P0098,5,273.97,1369.85
OD000152,O000051,P0075,3,334.61,1003.83
OD000153,O000051,P0058,3,369.98,1109.94
OD000154,O000051,P0088,2,264.57,529.14
OD000155,O000051,P0073,4,440.66,1762.64
OD000156,O000052,P0057,5,102.15,510.75
OD000157,O000052,P0081,1,289.46,289.46
OD000158,O000052,P0039,3,433.62,1300.86
OD000159,O000052,P0036,5,284.98,1424.9
OD000160,O000053,P0060,1,202.14,202.14
OD000161,O000053,P0058,3,369.98,1109.94
OD000162,O000053,P0005,3,373.51,1120.53
OD000163,O000054,P0079,5,147.14,735.7
OD000164,O000055,P0075,4,334.61,1338.44
OD000165,O000055,P0071,5,121.27,606.35
OD000166,O000055,P0095,2,50.49,100.98
OD000167,O000055,P0006,3,344.82,1034.46
OD000168,O000056,P0020,1,23.12,23.12
OD000169,O000056,P0008,5,61.73,308.65
OD000170,O000056,P0058,2,369.98,739.96
OD000171,O000056,P0014,1,115.44,115.44
OD000172,O000056,P0044,2,158.91,317.82
OD000173,O000057,P0068,3,35.41,106.23
OD000174,O000057,P0067,3,129.94,389.82
OD000175,O000057,P0079,3,147.14,441.42
OD000176,O000057,P0021,4,406.79,1627.16
OD000177,O000058,P0087,3,498.82,1496.46
OD000178,O000058,P0077,1,458.98,458.98
OD000179,O000058,P0007,3,448.25,1344.75
OD000180,O000059,P0087,5,498.82,2494.1
OD000181,O000059,P0050,2,195.12,390.24
OD000182,O000059,P0037,3,418.11,1254.33
OD000183,O000059,P0033,1,277.39,277.39
OD000184,O000059,P0093,5,400.2,2001
OD000185,O000060,P0045,4,58.3,233.2
OD000186,O000060,P0040,2,297.13,594.26
OD000187,O000061,P0040,5,297.13,1485.65
OD000188,O000062,P0086,5,125.27,626.35
OD000189,O000062,P0090,1,42.62,42.62
OD000190,O000063,P0040,3,297.13,891.39
OD000191,O000063,P0024,4,94.63,378.52
OD000192,O000063,P0028,2,66.42,132.84
OD000193,O000064,P0020,3,23.12,69.36
OD000194,O000064,P0010,1,34.3,34.3
OD000195,O000065,P0095,5,50.49,252.45
OD000196,O000065,P0068,2,35.41,70.82
OD000197,O000065,P0005,5,373.51,1867.55
OD000198,O000065,P0085,4,211.71,846.84
OD000199,O000065,P0044,2,158.91,317.82
OD000200,O000066,P0089,5,63.64,318.2
OD000201,O000066,P0099,2,486.12,972.24
OD000202,O000067,P0006,2,344.82,689.64
OD000203,O000067,P0053,4,148.15,592.6
OD000204,O000067,P0047,5,68.48,342.4
OD000205,O000067,P0087,3,498.82,1496.46
OD000206,O000068,P0030,4,309.79,1239.16
OD000207,O000068,P0069,2,171.42,342.84
OD000208,O000068,P0031,3,407.42,1222.26
OD000209,O000068,P0040,5,297.13,1485.65
OD000210,O000069,P0099,5,486.12,2430.6
OD000211,O000069,P0037,5,418.11,2090.55
OD000212,O000069,P0100,4,433.17,1732.68
OD000213,O000069,P0049,2,325.13,650.26
OD000214,O000070,P0083,4,300.6,1202.4
OD000215,O000071,P0014,1,115.44,115.44
OD000216,O000071,P0092,2,321.17,642.34
OD000217,O000071,P0067,3,129.94,389.82
OD000218,O000071,P0016,4,281.57,1126.28
OD000219,O000071,P0037,5,418.11,2090.55
OD000220,O000072,P0029,4,426.8,1707.2
OD000221,O000073,P0007,2,448.25,896.5
OD000222,O000073,P0051,4,197.69,790.76
OD000223,O000073,P0065,1,424.57,424.57
OD000224,O000073,P0048,3,153.43,460.29
OD000225,O000074,P0041,1,358.19,358.19
OD000226,O000075,P0005,4,373.51,1494.04
OD000227,O000075,P0037,2,418.11,836.22
OD000228,O000076,P0001,2,326.92,653.84
OD000229,O000076,P0011,5,124.95,624.75
OD000230,O000076,P0003,5,152.01,760.05
OD000231,O000076,P0033,5,277.39,1386.95
OD000232,O000076,P0028,4,66.42,265.68
OD000233,O000077,P0031,1,407.42,407.42
OD000234,O000077,P0039,2,433.62,867.24
OD000235,O000077,P0016,4,281.57,1126.28
OD000236,O000078,P0059,5,98.43,492.15
OD000237,O000078,P0009,1,222.52,222.52
OD000238,O000078,P0015,5,331.94,1659.7
OD000239,O000078,P0064,5,348.61,1743.05
OD000240,O000078,P0077,2,458.98,917.96
OD000241,O000079,P0038,1,316.89,316.89
OD000242,O000079,P0055,5,331.06,1655.3
OD000243,O000080,P0054,3,469.59,1408.77
OD000244,O000080,P0024,1,94.63,94.63
OD000245,O000080,P0086,5,125.27,626.35
OD000246,O000080,P0011,5,124.95,624.75
OD000247,O000080,P0068,5,35.41,177.05
OD000248,O000081,P0003,4,152.01,608.04
OD000249,O000081,P0050,3,195.12,585.36
OD000250,O000081,P0061,3,494.97,1484.91
OD000251,O000081,P0006,1,344.82,344.82
OD000252,O000081,P0082,3,146.12,438.36
OD000253,O000082,P0094,1,222.64,222.64
OD000254,O000082,P0085,5,211.71,1058.55
OD000255,O000083,P0046,5,131.74,658.7
OD000256,O000084,P0100,4,433.17,1732.68
OD000257,O000084,P0088,4,264.57,1058.28
OD000258,O000085,P0092,4,321.17,1284.68
OD000259,O000086,P0006,1,344.82,344.82
OD000260,O000086,P0026,3,181.57,544.71
OD000261,O000087,P0070,2,148.52,297.04
OD000262,O000087,P0061,3,494.97,1484.91
OD000263,O000087,P0033,3,277.39,832.17
OD000264,O000087,P0005,1,373.51,373.51
OD000265,O000088,P0048,4,153.43,613.72
OD000266,O000089,P0024,4,94.63,378.52
OD000267,O000089,P0064,3,348.61,1045.83
OD000268,O000089,P0089,5,63.64,318.2
OD000269,O000090,P0094,4,222.64,890.56
OD000270,O000091,P0078,3,240.25,720.75
OD000271,O000091,P0024,1,94.63,94.63
OD000272,O000091,P0070,1,148.52,148.52
OD000273,O000091,P0038,3,316.89,950.67
OD000274,O000092,P0040,4,297.13,1188.52
OD000275,O000092,P0058,2,369.98,739.96
OD000276,O000092,P0078,4,240.25,961
OD000277,O000093,P0094,3,222.64,667.92
OD000278,O000094,P0036,4,284.98,1139.92
OD000279,O000094,P0082,3,146.12,438.36
OD000280,O000094,P0008,5,61.73,308.65
OD000281,O000094,P0010,2,34.3,68.6
OD000282,O000095,P0078,4,240.25,961
OD000283,O000095,P0087,1,498.82,498.82
OD000284,O000096,P0100,3,433.17,1299.51
OD000285,O000096,P0083,3,300.6,901.8
OD000286,O000097,P0005,3,373.51,1120.53
OD000287,O000097,P0078,3,240.25,720.75
OD000288,O000097,P0020,4,23.12,92.48
OD000289,O000097,P0087,1,498.82,498.82
OD000290,O000097,P0058,5,369.98,1849.9
OD000291,O000098,P0032,2,370.27,740.54
OD000292,O000098,P0015,4,331.94,1327.76
OD000293,O000098,P0004,5,127.14,635.7
OD000294,O000099,P0016,2,281.57,563.14
OD000295,O000099,P0034,5,487.1,2435.5
OD000296,O000099,P0100,3,433.17,1299.51
OD000297,O000099,P0091,4,72.63,290.52
OD000298,O000099,P0058,2,369.98,739.96
OD000299,O000100,P0010,2,34.3,68.6
OD000300,O000100,P0058,4,369.98,1479.92
OD000301,O000101,P0086,1,125.27,125.27
OD000302,O000101,P0045,5,58.3,291.5
OD000303,O000101,P0091,5,72.63,363.15
OD000304,O000102,P0092,2,321.17,642.34
OD000305,O000102,P0091,3,72.63,217.89
OD000306,O000103,P0026,2,181.57,363.14
OD000307,O000104,P0060,5,202.14,1010.7
OD000308,O000104,P0071,1,121.27,121.27
OD000309,O000104,P0017,1,125.81,125.81
OD000310,O000105,P0092,4,321.17,1284.68
OD000311,O000105,P0093,4,400.2,1600.8
OD000312,O000105,P0062,5,327.2,1636
OD000313,O000105,P0068,1,35.41,35.41
OD000314,O000106,P0083,4,300.6,1202.4
OD000315,O000106,P0010,5,34.3,171.5
OD000316,O000106,P0058,3,369.98,1109.94
OD000317,O000107,P0082,4,146.12,584.48
OD000318,O000107,P0076,5,209.9,1049.5
OD000319,O000107,P0024,1,94.63,94.63
OD000320,O000107,P0099,1,486.12,486.12
OD000321,O000107,P0017,5,125.81,629.05
OD000322,O000108,P0022,2,355.11,710.22
OD000323,O000108,P0021,3,406.79,1220.37
OD000324,O000108,P0042,5,42,210
OD000325,O000109,P0026,3,181.57,544.71
OD000326,O000109,P0082,2,146.12,292.24
OD000327,O000109,P0071,3,121.27,363.81
OD000328,O000110,P0012,5,262.57,1312.85
OD000329,O000110,P0065,2,424.57,849.14
OD000330,O000110,P0083,2,300.6,601.2
OD000331,O000110,P0022,5,355.11,1775.55
OD000332,O000110,P0076,5,209.9,1049.5
OD000333,O000111,P0011,1,124.95,124.95
OD000334,O000112,P0099,4,486.12,1944.48
OD000335,O000112,P0074,5,171.05,855.25
OD000336,O000113,P0081,3,289.46,868.38
OD000337,O000113,P0070,4,148.52,594.08
OD000338,O000113,P0038,2,316.89,633.78
OD000339,O000113,P0083,4,300.6,1202.4
OD000340,O000114,P0010,4,34.3,137.2
OD000341,O000114,P0089,4,63.64,254.56
OD000342,O000114,P0008,4,61.73,246.92
OD000343,O000114,P0021,4,406.79,1627.16
OD000344,O000115,P0078,3,240.25,720.75
OD000345,O000115,P0019,3,408.53,1225.59
OD000346,O000115,P0041,4,358.19,1432.76
OD000347,O000116,P0072,1,472.6,472.6
OD000348,O000116,P0014,3,115.44,346.32
OD000349,O000116,P0041,4,358.19,1432.76
OD000350,O000116,P0031,2,407.42,814.84
OD000351,O000116,P0060,2,202.14,404.28
OD000352,O000117,P0050,2,195.12,390.24
OD000353,O000117,P0079,2,147.14,294.28
OD000354,O000117,P0054,3,469.59,1408.77
OD000355,O000118,P0098,4,273.97,1095.88
OD000356,O000118,P0021,5,406.79,2033.95
OD000357,O000119,P0040,4,297.13,1188.52
OD000358,O000119,P0064,5,348.61,1743.05
OD000359,O000119,P0003,4,152.01,608.04
OD000360,O000119,P0012,2,262.57,525.14
OD000361,O000120,P0046,4,131.74,526.96
OD000362,O000120,P0007,3,448.25,1344.75
OD000363,O000120,P0037,5,418.11,2090.55
OD000364,O000120,P0064,1,348.61,348.61
OD000365,O000120,P0077,1,458.98,458.98
OD000366,O000121,P0034,3,487.1,1461.3
OD000367,O000121,P0094,4,222.64,890.56
OD000368,O000122,P0007,3,448.25,1344.75
OD000369,O000122,P0073,5,440.66,2203.3
OD000370,O000122,P0072,3,472.6,1417.8
OD000371,O000122,P0025,1,479.46,479.46
OD000372,O000123,P0058,5,369.98,1849.9
OD000373,O000123,P0098,1,273.97,273.97
OD000374,O000123,P0071,2,121.27,242.54
OD000375,O000123,P0036,1,284.98,284.98
OD000376,O000123,P0080,4,138.38,553.52
OD000377,O000124,P0072,2,472.6,945.2
OD000378,O000124,P0047,2,68.48,136.96
OD000379,O000124,P0097,5,498.14,2490.7
OD000380,O000125,P0006,4,344.82,1379.28
OD000381,O000125,P0005,5,373.51,1867.55
OD000382,O000125,P0018,4,302.85,1211.4
OD000383,O000125,P0092,2,321.17,642.34
OD000384,O000125,P0043,5,129.39,646.95
OD000385,O000126,P0079,4,147.14,588.56
OD000386,O000126,P0041,5,358.19,1790.95
OD000387,O000126,P0021,3,406.79,1220.37
OD000388,O000127,P0066,3,392.48,1177.44
OD000389,O000127,P0069,4,171.42,685.68
OD000390,O000127,P0063,1,287.34,287.34
OD000391,O000127,P0091,3,72.63,217.89
OD000392,O000127,P0073,3,440.66,1321.98
OD000393,O000128,P0040,5,297.13,1485.65
OD000394,O000128,P0093,4,400.2,1600.8
OD000395,O000128,P0089,3,63.64,190.92
OD000396,O000128,P0081,5,289.46,1447.3
OD000397,O000128,P0004,5,127.14,635.7
OD000398,O000129,P0062,5,327.2,1636
OD000399,O000129,P0022,4,355.11,1420.44
OD000400,O000129,P0068,2,35.41,70.82
OD000401,O000129,P0081,2,289.46,578.92
OD000402,O000129,P0093,1,400.2,400.2
OD000403,O000130,P0025,1,479.46,479.46
OD000404,O000131,P0054,2,469.59,939.18
OD000405,O000131,P0020,4,23.12,92.48
OD000406,O000131,P0053,5,148.15,740.75
OD000407,O000132,P0061,2,494.97,989.94
OD000408,O000132,P0095,5,50.49,252.45
OD000409,O000132,P0094,2,222.64,445.28
OD000410,O000132,P0008,5,61.73,308.65
OD000411,O000132,P0091,3,72.63,217.89
OD000412,O000133,P0068,4,35.41,141.64
OD000413,O000133,P0049,5,325.13,1625.65
OD000414,O000133,P0041,3,358.19,1074.57
OD000415,O000133,P0023,5,183.32,916.6
OD000416,O000134,P0079,2,147.14,294.28
OD000417,O000134,P0062,3,327.2,981.6
OD000418,O000134,P0025,5,479.46,2397.3
OD000419,O000135,P0099,2,486.12,972.24
OD000420,O000135,P0037,4,418.11,1672.44
OD000421,O000135,P0091,3,72.63,217.89
OD000422,O000136,P0072,3,472.6,1417.8
OD000423,O000136,P0093,1,400.2,400.2
OD000424,O000136,P0036,5,284.98,1424.9
OD000425,O000137,P0049,3,325.13,975.39
OD000426,O000137,P0051,1,197.69,197.69
OD000427,O000137,P0045,3,58.3,174.9
OD000428,O000137,P0099,1,486.12,486.12
OD000429,O000137,P0019,3,408.53,1225.59
OD000430,O000138,P0028,5,66.42,332.1
OD000431,O000138,P0026,3,181.57,544.71
OD000432,O000138,P0069,2,171.42,342.84
OD000433,O000138,P0035,1,201.7,201.7
OD000434,O000139,P0007,5,448.25,2241.25
OD000435,O000139,P0086,2,125.27,250.54
OD000436,O000140,P0013,4,32.74,130.96
OD000437,O000141,P0013,1,32.74,32.74
OD000438,O000141,P0088,5,264.57,1322.85
OD000439,O000141,P0099,2,486.12,972.24
OD000440,O000141,P0018,4,302.85,1211.4
OD000441,O000142,P0097,3,498.14,1494.42
OD000442,O000142,P0037,3,418.11,1254.33
OD000443,O000143,P0084,5,450.95,2254.75
OD000444,O000144,P0095,2,50.49,100.98
OD000445,O000144,P0093,1,400.2,400.2
OD000446,O000144,P0005,4,373.51,1494.04
OD000447,O000144,P0023,4,183.32,733.28
OD000448,O000144,P0054,2,469.59,939.18
OD000449,O000145,P0039,5,433.62,2168.1
OD000450,O000146,P0037,5,418.11,2090.55
OD000451,O000146,P0059,5,98.43,492.15
OD000452,O000146,P0083,4,300.6,1202.4
OD000453,O000147,P0060,2,202.14,404.28
OD000454,O000147,P0035,4,201.7,806.8
OD000455,O000147,P0025,3,479.46,1438.38
OD000456,O000147,P0015,2,331.94,663.88
OD000457,O000147,P0043,1,129.39,129.39
OD000458,O000148,P0038,2,316.89,633.78
OD000459,O000148,P0073,2,440.66,881.32
OD000460,O000148,P0087,5,498.82,2494.1
OD000461,O000149,P0042,2,42,84
OD000462,O000149,P0012,2,262.57,525.14
OD000463,O000149,P0052,4,120.56,482.24
OD000464,O000149,P0086,3,125.27,375.81
OD000465,O000149,P0013,2,32.74,65.48
OD000466,O000150,P0050,3,195.12,585.36
OD000467,O000150,P0031,3,407.42,1222.26
OD000468,O000150,P0058,3,369.98,1109.94
OD000469,O000151,P0084,2,450.95,901.9
OD000470,O000151,P0047,1,68.48,68.48
OD000471,O000151,P0089,1,63.64,63.64
OD000472,O000152,P0021,5,406.79,2033.95
OD000473,O000152,P0052,3,120.56,361.68
OD000474,O000152,P0088,1,264.57,264.57
OD000475,O000153,P0048,2,153.43,306.86
OD000476,O000153,P0079,2,147.14,294.28
OD000477,O000153,P0029,4,426.8,1707.2
OD000478,O000154,P0096,5,203.18,1015.9
OD000479,O000154,P0078,4,240.25,961
OD000480,O000154,P0048,5,153.43,767.15
OD000481,O000154,P0054,2,469.59,939.18
OD000482,O000155,P0088,5,264.57,1322.85
OD000483,O000155,P0097,1,498.14,498.14
OD000484,O000156,P0091,1,72.63,72.63
OD000485,O000156,P0047,5,68.48,342.4
OD000486,O000156,P0010,5,34.3,171.5
OD000487,O000156,P0073,2,440.66,881.32
OD000488,O000156,P0015,5,331.94,1659.7
OD000489,O000157,P0022,5,355.11,1775.55
OD000490,O000157,P0042,4,42,168
OD000491,O000158,P0092,4,321.17,1284.68
OD000492,O000158,P0075,1,334.61,334.61
OD000493,O000159,P0008,4,61.73,246.92
OD000494,O000159,P0059,4,98.43,393.72
OD000495,O000159,P0017,5,125.81,629.05
OD000496,O000159,P0066,1,392.48,392.48
OD000497,O000160,P0087,4,498.82,1995.28
OD000498,O000160,P0040,3,297.13,891.39
OD000499,O000160,P0093,1,400.2,400.2
OD000500,O000160,P0003,2,152.01,304.02
OD000501,O000161,P0055,3,331.06,993.18
OD000502,O000162,P0008,4,61.73,246.92
OD000503,O000162,P0009,2,222.52,445.04
OD000504,O000162,P0061,2,494.97,989.94
OD000505,O000162,P0005,4,373.51,1494.04
OD000506,O000162,P0037,3,418.11,1254.33
OD000507,O000163,P0088,5,264.57,1322.85
OD000508,O000164,P0016,4,281.57,1126.28
OD000509,O000164,P0023,5,183.32,916.6
OD000510,O000164,P0069,2,171.42,342.84
OD000511,O000165,P0097,1,498.14,498.14
OD000512,O000166,P0049,2,325.13,650.26
OD000513,O000166,P0030,3,309.79,929.37
OD000514,O000166,P0032,2,370.27,740.54
OD000515,O000166,P0059,1,98.43,98.43
OD000516,O000166,P0045,1,58.3,58.3
OD000517,O000167,P0079,2,147.14,294.28
OD000518,O000167,P0099,1,486.12,486.12
OD000519,O000167,P0003,1,152.01,152.01
OD000520,O000167,P0031,5,407.42,2037.1
OD000521,O000168,P0077,2,458.98,917.96
OD000522,O000168,P0087,1,498.82,498.82
OD000523,O000168,P0091,4,72.63,290.52
OD000524,O000168,P0007,4,448.25,1793
OD000525,O000169,P0028,5,66.42,332.1
OD000526,O000169,P0097,3,498.14,1494.42
OD000527,O000169,P0100,2,433.17,866.34
OD000528,O000169,P0008,5,61.73,308.65
OD000529,O000169,P0018,3,302.85,908.55
OD000530,O000170,P0031,5,407.42,2037.1
OD000531,O000170,P0039,2,433.62,867.24
OD000532,O000170,P0019,4,408.53,1634.12
OD000533,O000171,P0008,2,61.73,123.46
OD000534,O000171,P0072,4,472.6,1890.4
OD000535,O000171,P0076,5,209.9,1049.5
OD000536,O000172,P0045,4,58.3,233.2
OD000537,O000173,P0041,3,358.19,1074.57
OD000538,O000173,P0090,4,42.62,170.48
OD000539,O000173,P0054,2,469.59,939.18
OD000540,O000173,P0053,5,148.15,740.75
OD000541,O000173,P0020,4,23.12,92.48
OD000542,O000174,P0039,2,433.62,867.24
OD000543,O000174,P0091,4,72.63,290.52
OD000544,O000175,P0068,2,35.41,70.82
OD000545,O000175,P0018,3,302.85,908.55
OD000546,O000175,P0050,1,195.12,195.12
OD000547,O000175,P0032,4,370.27,1481.08
OD000548,O000175,P0033,3,277.39,832.17
OD000549,O000176,P0093,5,400.2,2001
OD000550,O000176,P0025,5,479.46,2397.3
OD000551,O000176,P0007,1,448.25,448.25
OD000552,O000176,P0035,1,201.7,201.7
OD000553,O000176,P0049,2,325.13,650.26
OD000554,O000177,P0093,2,400.2,800.4
OD000555,O000177,P0086,3,125.27,375.81
OD000556,O000177,P0072,3,472.6,1417.8
OD000557,O000177,P0028,1,66.42,66.42
OD000558,O000177,P0062,2,327.2,654.4
OD000559,O000178,P0096,4,203.18,812.72
OD000560,O000179,P0042,5,42,210
OD000561,O000179,P0100,3,433.17,1299.51
OD000562,O000179,P0037,3,418.11,1254.33
OD000563,O000179,P0049,3,325.13,975.39
OD000564,O000179,P0060,3,202.14,606.42
OD000565,O000180,P0013,3,32.74,98.22
OD000566,O000180,P0093,2,400.2,800.4
OD000567,O000180,P0061,3,494.97,1484.91
OD000568,O000180,P0098,3,273.97,821.91
OD000569,O000181,P0073,2,440.66,881.32
OD000570,O000182,P0003,5,152.01,760.05
OD000571,O000182,P0034,5,487.1,2435.5
OD000572,O000183,P0038,2,316.89,633.78
OD000573,O000183,P0020,4,23.12,92.48
OD000574,O000183,P0026,5,181.57,907.85
OD000575,O000183,P0043,2,129.39,258.78
OD000576,O000184,P0084,4,450.95,1803.8
OD000577,O000184,P0088,4,264.57,1058.28
OD000578,O000184,P0044,4,158.91,635.64
OD000579,O000184,P0033,2,277.39,554.78
OD000580,O000184,P0098,3,273.97,821.91
OD000581,O000185,P0063,5,287.34,1436.7
OD000582,O000185,P0024,1,94.63,94.63
OD000583,O000185,P0070,1,148.52,148.52
OD000584,O000185,P0083,1,300.6,300.6
OD000585,O000185,P0008,1,61.73,61.73
OD000586,O000186,P0081,1,289.46,289.46
OD000587,O000186,P0030,2,309.79,619.58
OD000588,O000187,P0059,5,98.43,492.15
OD000589,O000187,P0048,4,153.43,613.72
OD000590,O000187,P0008,4,61.73,246.92
OD000591,O000187,P0080,1,138.38,138.38
OD000592,O000187,P0082,1,146.12,146.12
OD000593,O000188,P0003,5,152.01,760.05
OD000594,O000189,P0037,4,418.11,1672.44
OD000595,O000189,P0003,2,152.01,304.02
OD000596,O000189,P0065,1,424.57,424.57
OD000597,O000189,P0090,1,42.62,42.62
OD000598,O000189,P0087,5,498.82,2494.1
OD000599,O000190,P0025,5,479.46,2397.3
OD000600,O000190,P0080,3,138.38,415.14
